epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4051,2.28022,5.30899,1.46079,0,0,0,0,1.48282,5.10288,0.93686,3.682e-05,3.682e-05,3.682e-05
2,30.8531,1.7941,5.05902,1.06962,0,0,0,0,1.54406,5.07536,0.93511,7.60183e-05,7.60183e-05,7.60183e-05
3,37.0495,1.66063,4.88387,0.96377,0,0,0,0,1.36303,inf,0.87474,0.000114956,0.000114956,0.000114956
4,42.7882,1.58043,4.68424,0.93183,0.0002,0.00049,0.0001,6e-05,1.30019,inf,0.86041,0.000153634,0.000153634,0.000153634
5,56.4445,1.56283,4.52489,0.92946,0.01986,0.07187,0.01391,0.00897,1.35615,inf,0.87914,0.000192051,0.000192051,0.000192051
6,61.6817,1.54074,4.31634,0.92071,0.0336,0.16214,0.02774,0.02128,1.2539,4.4839,0.85615,0.000230208,0.000230208,0.000230208
7,68.4818,1.5372,4.07876,0.92156,0.03553,0.23565,0.03505,0.02396,1.23478,4.07327,0.85657,0.000257793,0.000257793,0.000257793
8,73.3828,1.50579,3.80587,0.91391,0.04172,0.2509,0.03673,0.02563,1.23806,3.74863,0.87589,0.000256925,0.000256925,0.000256925
9,80.8478,1.49759,3.54223,0.91457,0.04317,0.2586,0.03436,0.02293,1.22418,3.24384,0.89018,0.000256057,0.000256057,0.000256057
10,96.2795,1.53776,3.30803,0.9222,0.04747,0.27691,0.04145,0.02915,1.27419,3.04538,0.89397,0.000255189,0.000255189,0.000255189
11,103.789,1.49527,3.0966,0.91413,0.05977,0.28081,0.05277,0.0351,1.31568,3.06687,0.92184,0.000254321,0.000254321,0.000254321
12,109.493,1.48578,2.96439,0.91834,0.05917,0.30011,0.06292,0.04461,1.23637,3.42371,0.93404,0.000253453,0.000253453,0.000253453
13,122.22,1.43461,2.82833,0.91841,0.07953,0.31447,0.07274,0.05138,1.2394,3.25755,0.93611,0.000252585,0.000252585,0.000252585
14,130.925,1.41268,2.73142,0.91938,0.08764,0.35919,0.09077,0.06489,1.26143,2.8812,0.92468,0.000251717,0.000251717,0.000251717
15,138.233,1.43752,2.66925,0.91223,0.1062,0.30329,0.08634,0.05986,1.26759,2.91643,0.94811,0.000250849,0.000250849,0.000250849
16,144.707,1.43421,2.59349,0.91608,0.10159,0.40335,0.11773,0.07982,1.27962,2.61947,0.90577,0.000249981,0.000249981,0.000249981
17,158.027,1.39937,2.52887,0.91336,0.15666,0.27631,0.1478,0.10475,1.23294,2.41244,0.90192,0.000249114,0.000249114,0.000249114
18,168.491,1.34094,2.46059,0.91017,0.14717,0.34101,0.16874,0.11848,1.16165,2.32691,0.90674,0.000248246,0.000248246,0.000248246
